Item, Dtime
ひき肉, 0.13918566703796387
ひき肉, 0.2575550079345703
ひき肉, 0.13265132904052734
ひき肉, 0.14381027221679688
ひき肉, 0.13693952560424805
ひき肉, 0.17884469032287598
ひき肉, 0.1543290615081787
ひき肉, 0.17936444282531738
ひき肉, 0.17897534370422363
ひき肉, 0.13555526733398438
ひき肉, 0.15761780738830566
ひき肉, 0.14949345588684082
ひき肉, 0.17122745513916016
ひき肉, 0.16199040412902832
ひき肉, 0.16031789779663086
ひき肉, 0.16318774223327637
ひき肉, 0.1424858570098877
ひき肉, 0.1378920078277588
ひき肉, 0.1359391212463379
ひき肉, 0.14609408378601074
ひき肉, 0.15788030624389648
ひき肉, 0.1422257423400879
ひき肉, 0.1811845302581787
ひき肉, 0.1544802188873291
ひき肉, 0.16437935829162598
ひき肉, 0.173264741897583
ひき肉, 0.14094066619873047
ひき肉, 0.1345384120941162
ひき肉, 0.1564631462097168
ひき肉, 0.16176486015319824
ケチャップ, 0.14823222160339355
ケチャップ, 0.13219881057739258
ケチャップ, 0.13196039199829102
ケチャップ, 0.13532280921936035
ケチャップ, 0.16402864456176758
ケチャップ, 0.12879109382629395
ケチャップ, 0.19682526588439941
ケチャップ, 0.14766812324523926
ケチャップ, 0.12697863578796387
ケチャップ, 0.1324477195739746
ケチャップ, 0.14049506187438965
ケチャップ, 0.12810373306274414
ケチャップ, 0.1363229751586914
ケチャップ, 0.12975406646728516
ケチャップ, 0.14519929885864258
ケチャップ, 0.1370244026184082
ケチャップ, 0.12067675590515137
ケチャップ, 0.13437318801879883
ケチャップ, 0.13070464134216309
ケチャップ, 0.12714600563049316
ケチャップ, 0.13897132873535156
ケチャップ, 0.13544940948486328
ケチャップ, 0.13216543197631836
ケチャップ, 0.1348423957824707
ケチャップ, 0.15590381622314453
ケチャップ, 0.13203096389770508
ケチャップ, 0.12954425811767578
ケチャップ, 0.1385185718536377
ケチャップ, 0.13613009452819824
ケチャップ, 0.15965032577514648
玉ねぎ, 0.14345932006835938
玉ねぎ, 0.16222786903381348
玉ねぎ, 0.16119980812072754
玉ねぎ, 0.19260287284851074
玉ねぎ, 0.1342029571533203
玉ねぎ, 0.1345834732055664
玉ねぎ, 0.14651799201965332
玉ねぎ, 0.15292763710021973
玉ねぎ, 0.134141206741333
玉ねぎ, 0.13405466079711914
玉ねぎ, 0.13955926895141602
玉ねぎ, 0.15114927291870117
玉ねぎ, 0.13739895820617676
玉ねぎ, 0.13367462158203125
玉ねぎ, 0.14533329010009766
玉ねぎ, 0.12686538696289062
玉ねぎ, 0.1442255973815918
玉ねぎ, 0.1359255313873291
玉ねぎ, 0.13578248023986816
玉ねぎ, 0.12926888465881348
玉ねぎ, 0.18701648712158203
玉ねぎ, 0.13699984550476074
玉ねぎ, 0.14190053939819336
玉ねぎ, 0.15865325927734375
玉ねぎ, 0.12685918807983398
玉ねぎ, 0.13509917259216309
玉ねぎ, 0.1566779613494873
玉ねぎ, 0.13599634170532227
玉ねぎ, 0.1400010585784912
玉ねぎ, 0.13996577262878418
塩, 0.18712496757507324
塩, 0.1715383529663086
塩, 0.14979243278503418
塩, 0.16662025451660156
塩, 0.14856743812561035
塩, 0.14971256256103516
塩, 0.15842270851135254
塩, 0.20372366905212402
塩, 0.1712636947631836
塩, 0.14755797386169434
塩, 0.1579122543334961
塩, 0.14664030075073242
塩, 0.17021989822387695
塩, 0.2081470489501953
塩, 0.16011404991149902
塩, 0.14210009574890137
塩, 0.1452956199645996
塩, 0.17334508895874023
塩, 0.14465904235839844
塩, 0.1718120574951172
塩, 0.16143107414245605
塩, 0.1889033317565918
塩, 0.17353129386901855
塩, 0.18021917343139648
塩, 0.1545848846435547
塩, 0.15297675132751465
塩, 0.14609909057617188
塩, 0.14997267723083496
塩, 0.2514927387237549
塩, 0.14424681663513184
